spectrum_path,valid_fraction
DeMeo2009data_gp/a002378.sp40.txt,0.9676
DeMeo2009data_gp/a002851.sp08.txt,0.9676
DeMeo2009data_gp/a003920.sp17.txt,0.9676
Binzel2019data_gp/a007336.visnir.txt,0.9676
DeMeo2009data_gp/a000019.sp49.txt,0.9701
DeMeo2009data_gp/a000128.sp24.txt,0.9701
DeMeo2009data_gp/a000246.sp37.txt,0.9701
DeMeo2009data_gp/a000295.sp18.txt,0.9701
DeMeo2009data_gp/a000359.sp03.txt,0.9701
DeMeo2009data_gp/a000460.sp15.txt,0.9701
DeMeo2009data_gp/a000913.sp07.txt,0.9701
DeMeo2009data_gp/a001011.sp09.txt,0.9701
DeMeo2009data_gp/a004451.sp09.txt,0.9701
DeMeo2009data_gp/a005379.sp51.txt,0.9701
Binzel2019data_gp/a162186.visnir.txt,0.9701
Binzel2019data_gp/a354030.visnir.txt,0.9701
DeMeo2009data_gp/a000014.sp25.txt,0.9726
DeMeo2009data_gp/a000033.sp10.txt,0.9726
DeMeo2009data_gp/a004558.sp29.txt,0.9726
DeMeo2009data_gp/a089355.sp12.txt,0.9726
DeMeo2009data_gp/a000015.sp28.txt,0.9751
DeMeo2009data_gp/a000042.sp06.txt,0.9751
DeMeo2009data_gp/a000090.sp44.txt,0.9751
DeMeo2009data_gp/a000160.sp23.txt,0.9751
DeMeo2009data_gp/a001640.sp37.txt,0.9751
DeMeo2009data_gp/a001916.sp07.txt,0.9751
DeMeo2009data_gp/a002401.sp16.txt,0.9751
DeMeo2009data_gp/a003511.sp12.txt,0.9751
Binzel2019data_gp/a006611.visnir.txt,0.9751
Binzel2019data_gp/a011066.visnir.txt,0.9751
Binzel2019data_gp/a163081.visnir.txt,0.9751
Binzel2019data_gp/a308635.visnir.txt,0.9751
Binzel2019data_gp/a308635.visnir_xth.txt,0.9751
Binzel2019data_gp/a414586.visnir.txt,0.9751
Binzel2019data_gp/a448003.visnir.txt,0.9751
DeMeo2009data_gp/a000030.sp02.txt,0.9776
DeMeo2009data_gp/a000055.sp49.txt,0.9776
DeMeo2009data_gp/a000061.sp02.txt,0.9776
DeMeo2009data_gp/a000243.sp21.txt,0.9776
DeMeo2009data_gp/a000453.sp07.txt,0.9776
DeMeo2009data_gp/a000793.sp18.txt,0.9776
DeMeo2009data_gp/a001131.sp40.txt,0.9776
DeMeo2009data_gp/a001147.sp07.txt,0.9776
DeMeo2009data_gp/a001148.sp05.txt,0.9776
DeMeo2009data_gp/a001494.sp55.txt,0.9776
DeMeo2009data_gp/a002501.sp09.txt,0.9776
DeMeo2009data_gp/a005817.sp31.txt,0.9776
DeMeo2009data_gp/au2002AA.sp09.txt,0.9776
Binzel2019data_gp/a001917.visnir.txt,0.9776
Binzel2019data_gp/a003554.visnir.txt,0.9776
Binzel2019data_gp/a005786.visnir.txt,0.9776
Binzel2019data_gp/a025916.visnir.txt,0.9776
Binzel2019data_gp/a137126.visnir.txt,0.9776
Binzel2019data_gp/a451397.visnir.txt,0.9776
DeMeo2009data_gp/a000007.sp28.txt,0.9800
DeMeo2009data_gp/a000049.sp24.txt,0.9800
DeMeo2009data_gp/a000073.sp26.txt,0.9800
DeMeo2009data_gp/a000093.sp22.txt,0.9800
DeMeo2009data_gp/a000097.sp45.txt,0.9800
DeMeo2009data_gp/a000105.sp24.txt,0.9800
DeMeo2009data_gp/a000108.sp10.txt,0.9800
DeMeo2009data_gp/a000226.sp10.txt,0.9800
DeMeo2009data_gp/a000444.sp07.txt,0.9800
DeMeo2009data_gp/a001658.sp03.txt,0.9800
DeMeo2009data_gp/a001980.sp55.txt,0.9800
